n,p,s,pi,m
100000000, 5, 1.24351, 3.14138, 100000000
100000000, 5, 1.25543, 3.14181, 100000000
100000000, 5, 1.22226, 3.14178, 100000000
100000000, 5, 1.27251, 3.14193, 100000000
100000000, 5, 1.19627, 3.14217, 100000000
100000000, 5, 1.2808, 3.14217, 100000000
99999996, 6, 1.07264, 3.14107, 100000000
99999996, 6, 1.10765, 3.14114, 100000000
99999996, 6, 1.06219, 3.14253, 100000000
99999996, 6, 1.04835, 3.14101, 100000000
99999996, 6, 1.09863, 3.14183, 100000000
99999996, 6, 1.07843, 3.14226, 100000000
99999996, 6, 1.0808, 3.14221, 100000000
99999996, 6, 1.05552, 3.14116, 100000000
99999996, 6, 1.08885, 3.14166, 100000000
99999996, 6, 1.07181, 3.14183, 100000000
99999998, 7, 0.942256, 3.14176, 100000000
99999998, 7, 0.922289, 3.14155, 100000000
99999998, 7, 0.925411, 3.14167, 100000000
99999998, 7, 0.893165, 3.14196, 100000000
99999998, 7, 0.946615, 3.14181, 100000000
99999998, 7, 0.941698, 3.1417, 100000000
99999998, 7, 0.899702, 3.14221, 100000000
99999998, 7, 0.943283, 3.14214, 100000000
99999998, 7, 0.907628, 3.1411, 100000000
99999998, 7, 0.885247, 3.14159, 100000000
100000000, 8, 0.822011, 3.14245, 100000000
100000000, 8, 0.833335, 3.14107, 100000000
100000000, 8, 0.852162, 3.14137, 100000000
100000000, 8, 0.755261, 3.14201, 100000000
100000000, 8, 0.836902, 3.14235, 100000000
100000000, 8, 0.832584, 3.14154, 100000000
100000000, 8, 0.781939, 3.14108, 100000000
100000000, 8, 0.826607, 3.14146, 100000000
100000000, 8, 0.831212, 3.14137, 100000000
100000000, 8, 0.814442, 3.14084, 100000000
99999999, 9, 0.756522, 3.14203, 100000000
99999999, 9, 0.731026, 3.14203, 100000000
99999999, 9, 0.772676, 3.14189, 100000000
99999999, 9, 0.749539, 3.14206, 100000000
99999999, 9, 0.7116, 3.14193, 100000000
99999999, 9, 0.708926, 3.14156, 100000000
99999999, 9, 0.71766, 3.1416, 100000000
99999999, 9, 0.763634, 3.14161, 100000000
99999999, 9, 0.743109, 3.14159, 100000000
99999999, 9, 0.728219, 3.1409, 100000000
100000000, 10, 0.648182, 3.14116, 100000000
100000000, 10, 0.675108, 3.1414, 100000000
100000000, 10, 0.876109, 3.14159, 100000000
100000000, 10, 0.680401, 3.14088, 100000000
100000000, 10, 0.685025, 3.1418, 100000000
100000000, 10, 0.643834, 3.14166, 100000000
100000000, 10, 0.656597, 3.14308, 100000000
100000000, 10, 0.661711, 3.14072, 100000000
100000000, 10, 0.684414, 3.14188, 100000000
100000000, 10, 0.661267, 3.14134, 100000000
99999999, 11, 0.614792, 3.14134, 100000000
99999999, 11, 0.596382, 3.14109, 100000000
99999999, 11, 0.640526, 3.14065, 100000000
99999999, 11, 0.701607, 3.1413, 100000000
99999999, 11, 0.594458, 3.14137, 100000000
99999999, 11, 0.654059, 3.14132, 100000000
99999999, 11, 0.599, 3.14165, 100000000
